study_id,player,avg_score,max_score,avg_combo,max_combo,avg_distance_between_players,max_distance_between_players,avg_distance_since_last_displacement,max_distance_since_last_displacement,closer_distance_trend_count,same_distance_trend_count,farther_distance_trend_count,toward_movement_trend_count,away_movement_trend_count,sideways_movement_trend_count,buff_count,buff_on_p1enemy_count,buff_on_p2enemy_count,nerf_count,nerf_on_p1enemy_count,nerf_on_p2enemy_count,effect_on_p1enemy_count,effect_on_p2enemy_count,secondary_attack_count,getting_hit_count,bullet_miss_count,enemy_kill_count,enemy_hit_count,label
xaFrG3NbM6Pq,P1,179.67857142857142,401,1.6590909090909092,11,5.699675324675326,8.85,2.0066666666666664,2.01,1,0,2,1,1,1,0,0,0,7,6,1,0,12,12,12,63,86,125,FOCUS - yourself
xaFrG3NbM6Pq,P2,185.4051724137931,409,1.3333333333333333,8,5.575201149425289,8.85,2.457142857142857,4.98,4,0,3,3,2,2,2,0,2,1,0,1,0,0,8,27,56,78,169,FOCUS - yourself
xaFrG3msKGvQ,P1,151.04335260115607,528,1.0404624277456647,8,1.2871965317919076,2.79,3.2172727272727273,9.81,13,0,9,2,19,1,0,0,0,11,1,10,0,2,13,19,54,79,148,FOCUS - yourself
xaFrG3msKGvQ,P2,136.86186186186185,528,0.8918918918918919,7,1.0678378378378377,2.01,2.09375,2.71,4,0,4,7,1,0,4,2,2,4,2,2,4,4,13,25,92,70,117,FOCUS - partner
xaFrG3oi6yo9,P1,603.1321839080459,1333,1.7442528735632183,16,3.452729885057472,5.18,2.207142857142857,3.39,3,0,4,4,1,2,1,1,0,12,1,11,2,2,17,12,77,82,140,FOCUS - partner
xaFrG3oi6yo9,P2,623.8314606741573,1443,1.6376404494382022,16,2.3721067415730346,4.38,2.033333333333333,2.08,1,0,2,0,2,1,4,0,4,2,1,1,0,2,17,24,101,80,125,FOCUS - yourself
zVTUSbKCFNhz,P1,1041.0948717948718,2161,3.5205128205128204,20,1.929794871794872,4.46,9.708571428571428,29.54,4,0,3,1,2,4,2,0,2,10,1,9,0,2,27,10,144,80,110,FOCUS - partner
zVTUSbKCFNhz,P2,1051.6602209944751,2107,3.273480662983425,18,1.8389779005524867,4.46,10.585714285714287,35.74,4,0,3,6,1,0,2,0,2,9,7,2,0,14,13,7,129,87,108,FOCUS - partner
zVTUSbQKLWkj,P1,1321.1059782608695,3285,2.402173913043478,14,10.295163043478263,14.67,2.36,3.94,3,0,5,3,3,2,1,1,0,3,2,1,2,4,24,11,109,74,138,FOCUS - yourself
zVTUSbQKLWkj,P2,1404.931216931217,3288,2.5634920634920637,14,10.51478835978836,11.67,5.436249999999999,25.35,2,0,6,2,2,4,8,1,7,3,0,3,2,0,6,5,73,72,203,FOCUS - yourself
zVTUSbhYpiVU,P1,1212.6839378238342,2668,2.5958549222797926,15,3.9665284974093256,6.11,2.3525,3.39,2,0,2,3,0,1,4,1,3,8,3,5,2,6,22,14,133,74,127,FOCUS - partner
zVTUSbhYpiVU,P2,1204.5710227272727,2668,2.5426136363636362,15,2.881732954545454,6.11,2.0357142857142856,2.2,3,0,4,0,5,2,7,1,6,5,1,4,2,2,8,5,83,89,148,FOCUS - yourself
zVTUSbtEi7Yd,P1,1829.935656836461,3846,3.53887399463807,27,3.5928418230563004,3.77,2.01,2.01,1,0,0,0,1,0,5,1,4,3,1,2,2,2,21,8,118,80,137,FOCUS - yourself
zVTUSbtEi7Yd,P2,1769.047477744807,3846,4.083086053412463,27,3.21,3.21,2.0,2.0,1,0,0,1,0,0,6,6,0,6,3,3,12,6,11,4,96,82,131,FOCUS - partner
