study_id,score,combo,event_type,event_actuator,event_receiver,elapse_time,distance_between_players,distance_since_last_displacement_trigger,distance_trend,movement_trend,is_first_playthrough
gzaZ5KmpHdRP,92,0,EnemyHit,P1,P1Enemy,24,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,GettingHit,P1Enemy,P1,25,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P2,P2Enemy,25,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P2,P2Enemy,25,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P2,P2Enemy,25,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,BulletMiss,P2,P2Enemy,25,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyKill,P1,P1Enemy,25,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,BulletMiss,P1,P1Enemy,26,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,Nerf,P1,P1Enemy,26,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P2,P2Enemy,26,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,BulletMiss,P2,P2Enemy,26,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,BulletMiss,P1,P1Enemy,26,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P1,P1Enemy,26,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P1,P1Enemy,26,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P1,P1Enemy,26,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,BulletMiss,P2,P2Enemy,27,8.71,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P1,P1Enemy,27,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P1,P1Enemy,27,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,Displacement,P2,P1,27,9.3,3.33,Farther,Toward,True
gzaZ5KmpHdRP,82,0,BulletMiss,P1,P1Enemy,27,9.3,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P2,P2Enemy,27,9.3,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyKill,P1,P1Enemy,27,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P1,P1Enemy,28,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,0,EnemyHit,P1,P1Enemy,28,8.61,-1,None,None,True
gzaZ5KmpHdRP,82,1,EnemyKill,P2,P2Enemy,28,9.3,-1,None,None,True
gzaZ5KmpHdRP,82,1,Displacement,P2,P1,29,7.82,2.02,Closer,Toward,True
gzaZ5KmpHdRP,85,2,EnemyKill,P1,P1Enemy,29,8.61,-1,None,None,True
gzaZ5KmpHdRP,85,3,EnemyKill,P2,P2Enemy,30,7.82,-1,None,None,True
gzaZ5KmpHdRP,85,3,BulletMiss,P2,P2Enemy,30,7.82,-1,None,None,True
gzaZ5KmpHdRP,94,3,SecondaryAttack,P2,P2Enemy,30,7.82,-1,None,None,True
gzaZ5KmpHdRP,94,3,EnemyHit,P2,P2Enemy,30,7.82,-1,None,None,True
gzaZ5KmpHdRP,94,3,EnemyHit,P2,P2Enemy,30,7.82,-1,None,None,True
gzaZ5KmpHdRP,94,3,EnemyHit,P2,P2Enemy,30,7.82,-1,None,None,True
gzaZ5KmpHdRP,94,3,BulletMiss,P2,P2Enemy,31,7.82,-1,None,None,True
gzaZ5KmpHdRP,73,0,GettingHit,P1Enemy,P1,31,8.61,-1,None,None,True
gzaZ5KmpHdRP,73,0,EnemyHit,P1,P1Enemy,31,8.61,-1,None,None,True
gzaZ5KmpHdRP,73,0,EnemyHit,P1,P1Enemy,31,8.61,-1,None,None,True
gzaZ5KmpHdRP,73,0,EnemyHit,P1,P1Enemy,31,8.61,-1,None,None,True
gzaZ5KmpHdRP,73,0,BulletMiss,P2,P2Enemy,31,7.82,-1,None,None,True
gzaZ5KmpHdRP,63,0,GettingHit,P2Enemy,P2,31,7.82,-1,None,None,True
gzaZ5KmpHdRP,63,0,EnemyKill,P1,P1Enemy,32,8.61,-1,None,None,True
gzaZ5KmpHdRP,63,0,EnemyHit,P2,P2Enemy,32,7.82,-1,None,None,True
gzaZ5KmpHdRP,63,0,EnemyKill,P2,P2Enemy,32,7.82,-1,None,None,True
gzaZ5KmpHdRP,63,0,Displacement,P2,P1,32,6.57,2.01,Closer,Toward,True
gzaZ5KmpHdRP,63,0,BulletMiss,P2,P2Enemy,32,6.57,-1,None,None,True
gzaZ5KmpHdRP,63,0,Buff,P2,P2Enemy,33,6.57,-1,None,None,True
gzaZ5KmpHdRP,63,0,SecondaryAttack,P1,P1Enemy,33,8.61,-1,None,None,True
gzaZ5KmpHdRP,63,0,EnemyKill,P2,P2Enemy,33,6.57,-1,None,None,True
gzaZ5KmpHdRP,63,0,EnemyKill,P1,P1Enemy,33,8.61,-1,None,None,True
gzaZ5KmpHdRP,63,0,EnemyKill,P1,P1Enemy,33,8.61,-1,None,None,True
gzaZ5KmpHdRP,63,0,EnemyHit,P1,P1Enemy,33,8.61,-1,None,None,True
gzaZ5KmpHdRP,63,0,BulletMiss,P2,P2Enemy,33,6.57,-1,None,None,True
